0 [2.00e+00]
500 [2.12e+00]
1000 [2.52e+00]
1500 [2.95e+00]
2000 [3.40e+00]
2500 [3.86e+00]
3000 [4.33e+00]
3500 [4.80e+00]
4000 [5.26e+00]
4500 [5.73e+00]
5000 [6.20e+00]
5500 [6.67e+00]
6000 [7.13e+00]
6500 [7.60e+00]
7000 [8.06e+00]
7500 [8.52e+00]
8000 [8.99e+00]
8500 [9.44e+00]
9000 [9.90e+00]
9500 [1.04e+01]
10000 [1.08e+01]
10500 [1.13e+01]
11000 [1.17e+01]
11500 [1.22e+01]
12000 [1.26e+01]
12500 [1.30e+01]
13000 [1.35e+01]
13500 [1.39e+01]
14000 [1.43e+01]
14500 [1.48e+01]
15000 [1.52e+01]
15500 [1.56e+01]
16000 [1.60e+01]
16500 [1.64e+01]
17000 [1.68e+01]
17500 [1.71e+01]
18000 [1.75e+01]
18500 [1.79e+01]
19000 [1.82e+01]
19500 [1.85e+01]
20000 [1.88e+01]
20500 [1.90e+01]
21000 [1.92e+01]
21500 [1.94e+01]
22000 [1.96e+01]
22500 [1.97e+01]
23000 [1.98e+01]
23500 [1.98e+01]
24000 [1.99e+01]
24500 [1.99e+01]
25000 [1.99e+01]
25500 [1.99e+01]
26000 [2.00e+01]
26500 [2.00e+01]
27000 [2.00e+01]
27500 [2.00e+01]
28000 [2.00e+01]
28500 [2.00e+01]
29000 [2.00e+01]
29500 [2.00e+01]
30000 [2.00e+01]
