0, [1.00000000e+01 4.94987833e-13], be, [-1, 1]
1, [2.22044605e-15 2.00000000e+01], le, [1, -1]
2, [ 0. 40.], ltc, [1, -1]
3, [40. 40.], rtc, [-1, -1]
4, [40.  0.], rbc, [-1, 1]
5, [ 8.04116374 11.88943829], center, [0, 0]
6, [20. 40.], te, [-1, -1]
7, [40. 20.], re, [-1, -1]
8, [25.  0.], be, [-1, 1]
9, [23.33333333 16.66666667], center, [0, 0]
10, [10.27489941 25.71122099], center, [0, 0]
element nodes: 6 10 9 1 10 2 6 9 7 8 9 5 7 9 4 5 0 8 9 10 5 2 10 6 4 9 8 7 3 6 5 10 1
