0 [2.0000e+00]
100 [1.9443e+00]
200 [1.9345e+00]
300 [1.9235e+00]
400 [1.9109e+00]
500 [1.8968e+00]
600 [1.8813e+00]
700 [1.8646e+00]
800 [1.8466e+00]
900 [1.8276e+00]
1000 [1.8075e+00]
1100 [1.7866e+00]
1200 [1.7648e+00]
1300 [1.7423e+00]
1400 [1.7192e+00]
1500 [1.6953e+00]
1600 [1.6709e+00]
1700 [1.6459e+00]
1800 [1.6205e+00]
1900 [1.5946e+00]
2000 [1.5685e+00]
2100 [1.5421e+00]
2200 [1.5155e+00]
2300 [1.4889e+00]
2400 [1.4623e+00]
2500 [1.4357e+00]
2600 [1.4093e+00]
2700 [1.3832e+00]
2800 [1.3574e+00]
2900 [1.3321e+00]
3000 [1.3072e+00]
3100 [1.2830e+00]
3200 [1.2594e+00]
3300 [1.2365e+00]
3400 [1.2144e+00]
3500 [1.1932e+00]
3600 [1.1729e+00]
3700 [1.1535e+00]
3800 [1.1351e+00]
3900 [1.1178e+00]
4000 [1.1015e+00]
4100 [1.0862e+00]
4200 [1.0721e+00]
4300 [1.0590e+00]
4400 [1.0470e+00]
4500 [1.0360e+00]
4600 [1.0261e+00]
4700 [1.0172e+00]
4800 [1.0092e+00]
4900 [1.0021e+00]
5000 [9.9592e-01]
5100 [9.9041e-01]
5200 [9.8577e-01]
5300 [9.8180e-01]
5400 [9.7836e-01]
5500 [9.7548e-01]
5600 [9.7314e-01]
5700 [9.7105e-01]
5800 [9.6951e-01]
5900 [9.6824e-01]
6000 [9.6704e-01]
6100 [9.6628e-01]
6200 [9.6565e-01]
6300 [9.6494e-01]
6400 [9.6461e-01]
6500 [9.6431e-01]
6600 [9.6387e-01]
6700 [9.6374e-01]
6800 [9.6343e-01]
6900 [9.6324e-01]
7000 [9.6322e-01]
7100 [9.6315e-01]
7200 [9.6281e-01]
7300 [9.6286e-01]
7400 [9.6282e-01]
7500 [9.6250e-01]
7600 [9.6259e-01]
7700 [9.6256e-01]
7800 [9.6225e-01]
7900 [9.6236e-01]
8000 [9.6215e-01]
8100 [9.6205e-01]
8200 [9.6218e-01]
8300 [9.6213e-01]
8400 [9.6183e-01]
8500 [9.6201e-01]
8600 [9.6199e-01]
8700 [9.6159e-01]
8800 [9.6186e-01]
8900 [9.6184e-01]
9000 [9.6140e-01]
9100 [9.6172e-01]
9200 [9.6158e-01]
9300 [9.6147e-01]
9400 [9.6163e-01]
9500 [9.6072e-01]
9600 [9.6148e-01]
9700 [9.6152e-01]
9800 [9.6090e-01]
9900 [9.6147e-01]
10000 [9.6142e-01]
